Month,Year,GDP_Growth_Rate (%)
January,2013,0.03
February,2013,0.03
March,2013,0.03
April,2013,0.23
May,2013,0.23
June,2013,0.23
July,2013,0.33
August,2013,0.33
September,2013,0.33
October,2013,0.40
November,2013,0.40
December,2013,0.40
January,2014,0.77
February,2014,0.77
March,2014,0.77
April,2014,0.40
May,2014,0.40
June,2014,0.40
July,2014,0.53
August,2014,0.53
September,2014,0.53
October,2014,0.67
November,2014,0.67
December,2014,0.67
January,2015,0.37
February,2015,0.37
March,2015,0.37
April,2015,0.53
May,2015,0.53
June,2015,0.53
July,2015,0.60
August,2015,0.60
September,2015,0.60
October,2015,0.67
November,2015,0.67
December,2015,0.67