Month,Year,Unemployment_Rate (%)
January,2013,5.3
February,2013,5.3
March,2013,5.3
April,2013,5.3
May,2013,5.3
June,2013,5.3
July,2013,5.3
August,2013,5.2
September,2013,5.2
October,2013,5.2
November,2013,5.2
December,2013,5.1
January,2014,5.1
February,2014,5.1
March,2014,5.1
April,2014,5.0
May,2014,5.0
June,2014,5.0
July,2014,4.9
August,2014,4.9
September,2014,4.9
October,2014,4.9
November,2014,4.9
December,2014,4.8
January,2015,4.7
February,2015,4.7
March,2015,4.7
April,2015,4.7
May,2015,4.7
June,2015,4.7
July,2015,4.6
August,2015,4.6
September,2015,4.5
October,2015,4.5
November,2015,4.5
December,2015,4.5